epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,629.412,0.41512,0.22419,0.84007,0.99966,1,0.995,0.92995,0.37999,0.17174,0.82824,0.00119551,0.00119551,0.00119551
46,643.455,0.41117,0.22406,0.83905,0.99982,1,0.995,0.93224,0.38378,0.17587,0.82977,0.00116487,0.00116487,0.00116487
47,657.125,0.4113,0.22015,0.8343,0.99981,1,0.995,0.93511,0.39627,0.18585,0.8309,0.00113408,0.00113408,0.00113408
48,670.959,0.41333,0.22439,0.83614,0.99983,1,0.995,0.93253,0.42414,0.21602,0.84341,0.00110317,0.00110317,0.00110317
49,684.65,0.40791,0.22036,0.83866,0.99984,1,0.995,0.93672,0.38346,0.17506,0.82948,0.00107216,0.00107216,0.00107216
50,698.77,0.41075,0.2236,0.83296,0.99984,1,0.995,0.93791,0.38372,0.17428,0.82853,0.0010411,0.0010411,0.0010411
51,713.029,0.41155,0.22116,0.83808,0.99984,1,0.995,0.93275,0.38215,0.1802,0.82732,0.00101,0.00101,0.00101
52,727.409,0.40875,0.22105,0.83717,0.99984,1,0.995,0.93254,0.39599,0.17633,0.83376,0.000978903,0.000978903,0.000978903
53,741.316,0.41072,0.21853,0.83846,0.99984,1,0.995,0.93429,0.39378,0.18083,0.83142,0.000947837,0.000947837,0.000947837
54,755.172,0.40945,0.21798,0.83942,0.99984,1,0.995,0.94034,0.38282,0.17965,0.82952,0.000916833,0.000916833,0.000916833
55,768.947,0.39527,0.21043,0.83306,0.99984,1,0.995,0.93854,0.38102,0.17089,0.82751,0.00088592,0.00088592,0.00088592
56,782.791,0.40005,0.21224,0.83819,0.99984,1,0.995,0.93603,0.37705,0.17269,0.82756,0.00085513,0.00085513,0.00085513
57,797.528,0.40032,0.2117,0.83803,0.99984,1,0.995,0.93137,0.38741,0.17386,0.83051,0.000824492,0.000824492,0.000824492
58,811.92,0.40528,0.21128,0.83839,0.99984,1,0.995,0.93301,0.39509,0.1688,0.83104,0.000794038,0.000794038,0.000794038
59,826.038,0.40072,0.20964,0.83342,0.99984,1,0.995,0.93995,0.38329,0.16872,0.82936,0.000763797,0.000763797,0.000763797
60,840.758,0.39257,0.20551,0.83713,0.99984,1,0.995,0.9366,0.39032,0.17325,0.83001,0.000733799,0.000733799,0.000733799
61,854.726,0.38389,0.20153,0.83311,0.99984,1,0.995,0.94031,0.38226,0.16305,0.82871,0.000704073,0.000704073,0.000704073
62,868.392,0.39184,0.20168,0.83093,0.99983,1,0.995,0.94026,0.37802,0.1622,0.82688,0.000674649,0.000674649,0.000674649
63,882.213,0.3827,0.19847,0.82751,0.99983,1,0.995,0.9388,0.37916,0.16076,0.82653,0.000645557,0.000645557,0.000645557
64,896.041,0.38946,0.19832,0.83147,0.99984,1,0.995,0.932,0.39871,0.16411,0.83232,0.000616824,0.000616824,0.000616824
65,911.377,0.39014,0.1995,0.83159,0.99983,1,0.995,0.93674,0.38216,0.16309,0.82797,0.000588479,0.000588479,0.000588479
66,926.754,0.38649,0.19515,0.82848,0.99984,1,0.995,0.94112,0.37897,0.16117,0.82641,0.000560549,0.000560549,0.000560549
67,941.461,0.37655,0.1924,0.82741,0.99984,1,0.995,0.94001,0.37894,0.15831,0.82683,0.000533064,0.000533064,0.000533064
68,956.091,0.37555,0.19341,0.82902,0.99984,1,0.995,0.93821,0.37836,0.15644,0.82789,0.000506049,0.000506049,0.000506049
69,970.552,0.38079,0.19569,0.83281,0.99984,1,0.995,0.94001,0.38259,0.15844,0.82698,0.000479531,0.000479531,0.000479531
70,984.905,0.37558,0.19022,0.83163,0.99984,1,0.995,0.93896,0.38057,0.15737,0.82689,0.000453537,0.000453537,0.000453537
71,999.558,0.37551,0.19025,0.8295,0.99984,1,0.995,0.93834,0.38405,0.15511,0.82998,0.000428093,0.000428093,0.000428093
72,1014.61,0.36911,0.18344,0.82489,0.99984,1,0.995,0.93456,0.37984,0.15733,0.827,0.000403222,0.000403222,0.000403222
73,1029.54,0.37997,0.18599,0.82951,0.99984,1,0.995,0.93834,0.37417,0.15422,0.82747,0.00037895,0.00037895,0.00037895
74,1044.82,0.37484,0.18775,0.82856,0.99984,1,0.995,0.93599,0.37944,0.15425,0.82824,0.000355301,0.000355301,0.000355301
75,1060.22,0.36372,0.18122,0.82597,0.99984,1,0.995,0.93607,0.37773,0.15473,0.82847,0.000332298,0.000332298,0.000332298
76,1075.7,0.37293,0.18498,0.8292,0.99984,1,0.995,0.93875,0.37939,0.15265,0.82736,0.000309964,0.000309964,0.000309964
77,1091.08,0.36012,0.18125,0.82963,0.99984,1,0.995,0.93624,0.38197,0.15409,0.82812,0.000288321,0.000288321,0.000288321
78,1106.1,0.36241,0.18048,0.83097,0.99984,1,0.995,0.93912,0.37602,0.14958,0.82596,0.00026739,0.00026739,0.00026739
79,1119.64,0.36619,0.17887,0.82674,0.99984,1,0.995,0.94042,0.37325,0.14838,0.82588,0.000247192,0.000247192,0.000247192
80,1133.24,0.36897,0.18071,0.82368,0.99984,1,0.995,0.93888,0.37503,0.14739,0.82611,0.000227747,0.000227747,0.000227747
81,1146.78,0.35505,0.17455,0.82289,1,1,0.995,0.94101,0.37515,0.15267,0.82657,0.000209073,0.000209073,0.000209073
82,1160.56,0.36446,0.17953,0.82406,1,1,0.995,0.9412,0.37517,0.14788,0.82625,0.00019119,0.00019119,0.00019119
83,1174.41,0.35863,0.17408,0.82558,1,1,0.995,0.93973,0.37629,0.14983,0.82757,0.000174115,0.000174115,0.000174115
84,1188,0.36269,0.1755,0.82583,1,1,0.995,0.93981,0.37346,0.14627,0.82686,0.000157865,0.000157865,0.000157865
85,1201.56,0.36152,0.17606,0.83149,0.99984,1,0.995,0.94055,0.37421,0.14569,0.82646,0.000142456,0.000142456,0.000142456
86,1215.16,0.35545,0.17185,0.82433,0.99984,1,0.995,0.94171,0.37741,0.14814,0.82794,0.000127904,0.000127904,0.000127904
87,1228.91,0.3517,0.17034,0.82222,0.99984,1,0.995,0.94427,0.37395,0.14591,0.82657,0.000114221,0.000114221,0.000114221
88,1242.82,0.35561,0.17233,0.82404,0.99985,1,0.995,0.94085,0.37556,0.14474,0.82645,0.000101423,0.000101423,0.000101423
89,1256.66,0.35989,0.17298,0.82478,0.99984,1,0.995,0.94199,0.37209,0.14383,0.8259,8.95213e-05,8.95213e-05,8.95213e-05
90,1270.51,0.357,0.17087,0.82162,0.99984,1,0.995,0.94111,0.37355,0.14456,0.82592,7.8528e-05,7.8528e-05,7.8528e-05
91,1294.3,0.33076,0.14489,0.81121,0.99984,1,0.995,0.94275,0.3726,0.14658,0.82635,6.8454e-05,6.8454e-05,6.8454e-05
92,1308.14,0.32997,0.1433,0.805,0.99984,1,0.995,0.94098,0.3744,0.14514,0.82707,5.93093e-05,5.93093e-05,5.93093e-05
93,1321.86,0.32734,0.14317,0.80785,0.99984,1,0.995,0.93983,0.37428,0.14546,0.82685,5.11027e-05,5.11027e-05,5.11027e-05
94,1335.59,0.32905,0.14308,0.81226,0.99984,1,0.995,0.94071,0.37395,0.14377,0.8266,4.38424e-05,4.38424e-05,4.38424e-05
95,1349.33,0.32982,0.14249,0.80751,0.99984,1,0.995,0.94144,0.37402,0.14533,0.82642,3.75356e-05,3.75356e-05,3.75356e-05
96,1363.26,0.32923,0.1422,0.80134,0.99984,1,0.995,0.93986,0.3744,0.14447,0.8266,3.21885e-05,3.21885e-05,3.21885e-05
97,1377.02,0.32768,0.14251,0.80882,0.99984,1,0.995,0.94111,0.37475,0.14441,0.82653,2.78064e-05,2.78064e-05,2.78064e-05
98,1390.79,0.3259,0.1408,0.80656,0.99984,1,0.995,0.94022,0.37494,0.14497,0.82666,2.43937e-05,2.43937e-05,2.43937e-05
99,1404.56,0.32572,0.14129,0.80779,0.99984,1,0.995,0.94045,0.37533,0.14435,0.82672,2.19535e-05,2.19535e-05,2.19535e-05
100,1418.49,0.32284,0.1394,0.80357,0.99984,1,0.995,0.94006,0.37443,0.1433,0.82653,2.04885e-05,2.04885e-05,2.04885e-05
